country,lead_time_group,n_obs,variable,rmse
Argentina,0h,372,precipitation,0.6194864331526682
Argentina,0h,372,rain,0.32791291789197646
Argentina,0h,372,showers,0.5294549845314154
Argentina,0h,372,snowfall,0
Argentina,0h,372,snow_depth,0
Argentina,0h,372,weather_code,17.739755486792447
Argentina,0h,372,pressure_msl,0.6811991324601864
Argentina,0h,372,surface_pressure,0.6727411427594442
Argentina,0h,372,cloud_cover,31.30177431502593
Argentina,0h,372,wind_speed_10m,3.9584807556022197
Argentina,0h,372,wind_gusts_10m,10.555742971360157
Argentina,1-6h,2116,temperature_2m,1.8424063741848733
Argentina,1-6h,2116,relative_humidity_2m,10.452928063656124
Argentina,1-6h,2116,dew_point_2m,1.9162201885389067
Argentina,1-6h,2116,apparent_temperature,1.8070775579833611
Argentina,1-6h,2116,precipitation,0.6648265404769091
Argentina,1-6h,2116,rain,0.589519364639911
Argentina,1-6h,2116,showers,0.33409019304500226
Argentina,1-6h,2116,snowfall,0
Argentina,1-6h,2116,snow_depth,0
Argentina,1-6h,2116,weather_code,16.834061698542076
Argentina,1-6h,2116,pressure_msl,0.6580747540002947
Argentina,1-6h,2116,surface_pressure,0.6529777654658815
Argentina,1-6h,2116,cloud_cover,31.53401560040488
Argentina,1-6h,2116,wind_speed_10m,4.091554998559617
Argentina,1-6h,2116,wind_gusts_10m,10.43634861437448
Argentina,13-18h,980,temperature_2m,1.610894034949765
Argentina,13-18h,980,relative_humidity_2m,10.15783602215852
Argentina,13-18h,980,dew_point_2m,2.4453287413068256
Argentina,13-18h,980,apparent_temperature,1.7350586651259292
Argentina,13-18h,980,precipitation,0.776819785788079
Argentina,13-18h,980,rain,0.7115375705370127
Argentina,13-18h,980,showers,0.35916569992135944
Argentina,13-18h,980,snowfall,0
Argentina,13-18h,980,snow_depth,0
Argentina,13-18h,980,weather_code,21.770556787945107
Argentina,13-18h,980,pressure_msl,0.7006119773863024
Argentina,13-18h,980,surface_pressure,0.693674039783373
Argentina,13-18h,980,cloud_cover,34.9395980257942
Argentina,13-18h,980,wind_speed_10m,3.8126320652937546
Argentina,13-18h,980,wind_gusts_10m,10.35038597328227
Argentina,19-24h,360,temperature_2m,1.5161537594262076
Argentina,19-24h,360,relative_humidity_2m,9.618558450551031
Argentina,19-24h,360,dew_point_2m,1.999249859322241
Argentina,19-24h,360,apparent_temperature,1.3618206767249337
Argentina,19-24h,360,precipitation,0.664245603841096
Argentina,19-24h,360,rain,0.6926198251726716
Argentina,19-24h,360,showers,0.38056974831603907
Argentina,19-24h,360,snowfall,0
Argentina,19-24h,360,snow_depth,0
Argentina,19-24h,360,weather_code,22.237730699571543
Argentina,19-24h,360,pressure_msl,0.6749074010558777
Argentina,19-24h,360,surface_pressure,0.6714826050530908
Argentina,19-24h,360,cloud_cover,31.620580499274695
Argentina,19-24h,360,wind_speed_10m,4.090110022970042
Argentina,19-24h,360,wind_gusts_10m,11.075174942184887
Argentina,7-12h,1478,temperature_2m,1.603451115681077
Argentina,7-12h,1478,relative_humidity_2m,10.246224427578078
Argentina,7-12h,1478,dew_point_2m,2.1100635215444674
Argentina,7-12h,1478,apparent_temperature,1.6590914904695004
Argentina,7-12h,1478,precipitation,0.77165621574049
Argentina,7-12h,1478,rain,0.7447152555896676
Argentina,7-12h,1478,showers,0.23703171196344036
Argentina,7-12h,1478,snowfall,0
Argentina,7-12h,1478,snow_depth,0
Argentina,7-12h,1478,weather_code,18.844711177875272
Argentina,7-12h,1478,pressure_msl,0.6900118647368849
Argentina,7-12h,1478,surface_pressure,0.6850619520990782
Argentina,7-12h,1478,cloud_cover,33.544912635670656
Argentina,7-12h,1478,wind_speed_10m,3.792239779335999
Argentina,7-12h,1478,wind_gusts_10m,9.987237458041225
Aruba,0h,372,temperature_2m,1.0333420048196682
Aruba,0h,372,relative_humidity_2m,10.557064596905041
Aruba,0h,372,dew_point_2m,1.886311756579689
Aruba,0h,372,apparent_temperature,1.0729068143403995
Aruba,0h,372,precipitation,0.3353701213280186
Aruba,0h,372,rain,0.3278309294126622
Aruba,0h,372,showers,0.14535828926505884
Aruba,0h,372,snowfall,0
Aruba,0h,372,snow_depth,0
Aruba,0h,372,weather_code,27.507086086065833
Aruba,0h,372,pressure_msl,0.4262867932595694
Aruba,0h,372,surface_pressure,0.4262867932595733
Aruba,0h,372,cloud_cover,34.251520647508
Aruba,0h,372,wind_speed_10m,2.3100644686809857
Aruba,0h,372,wind_gusts_10m,13.897655871033699
Aruba,1-6h,2112,temperature_2m,1.0387337498273093
Aruba,1-6h,2112,relative_humidity_2m,10.14889156509222
Aruba,1-6h,2112,dew_point_2m,1.8773520601037403
Aruba,1-6h,2112,apparent_temperature,1.164914810255031
Aruba,1-6h,2112,precipitation,0.28075925198603446
Aruba,1-6h,2112,rain,0.2804724099216761
Aruba,1-6h,2112,showers,0.1772848674941667
Aruba,1-6h,2112,snowfall,0
Aruba,1-6h,2112,snow_depth,0
Aruba,1-6h,2112,weather_code,28.19859898733419
Aruba,1-6h,2112,pressure_msl,0.36630060928646646
Aruba,1-6h,2112,surface_pressure,0.3663006092864653
Aruba,1-6h,2112,cloud_cover,36.06750037545343
Aruba,1-6h,2112,wind_speed_10m,2.318751786734589
Aruba,1-6h,2112,wind_gusts_10m,13.492827780534054
Aruba,13-18h,978,temperature_2m,1.3499678099623562
Aruba,13-18h,978,relative_humidity_2m,13.091544907200973
Aruba,13-18h,978,dew_point_2m,1.9864160366742527
Aruba,13-18h,978,apparent_temperature,0.8256744160435114
Aruba,13-18h,978,precipitation,0.3290004692906319
Aruba,13-18h,978,rain,0.3502847220520294
Aruba,13-18h,978,showers,0.16323668940809893
Aruba,13-18h,978,snowfall,0
Aruba,13-18h,978,snow_depth,0
Aruba,13-18h,978,weather_code,32.09880579294708
Aruba,13-18h,978,pressure_msl,0.3985915900062629
Aruba,13-18h,978,surface_pressure,0.3985915900062639
Aruba,13-18h,978,cloud_cover,38.65277234320911
Aruba,13-18h,978,wind_speed_10m,3.03576162943612
Aruba,13-18h,978,wind_gusts_10m,18.01221523718033
Aruba,19-24h,358,temperature_2m,0.6866239975171857
