country,city,lead_time_group,n_obs,variable,rmse
Aruba,oranjestad,19-24h,358,temperature_2m,0.6866239975171857
Aruba,oranjestad,19-24h,358,relative_humidity_2m,9.898930589495132
Aruba,oranjestad,19-24h,358,dew_point_2m,1.9183180482073905
Aruba,oranjestad,19-24h,358,apparent_temperature,0.9751092189220733
Aruba,oranjestad,19-24h,358,precipitation,0.28432022233182014
Aruba,oranjestad,19-24h,358,rain,0.33005840011433357
Aruba,oranjestad,19-24h,358,showers,0.06072191398489368
Aruba,oranjestad,19-24h,358,snowfall,0
Aruba,oranjestad,19-24h,358,snow_depth,0
Aruba,oranjestad,19-24h,358,weather_code,19.836623203351216
Aruba,oranjestad,19-24h,358,pressure_msl,0.36125170351998437
Aruba,oranjestad,19-24h,358,surface_pressure,0.3612517035199849
Aruba,oranjestad,19-24h,358,cloud_cover,43.24291526562925
Aruba,oranjestad,19-24h,358,wind_speed_10m,2.3017603173786836
Aruba,oranjestad,19-24h,358,wind_gusts_10m,15.268115899759591
Aruba,oranjestad,7-12h,1478,temperature_2m,1.1650352663562835
Aruba,oranjestad,7-12h,1478,relative_humidity_2m,11.31843192398408
Aruba,oranjestad,7-12h,1478,dew_point_2m,1.9265223844975772
Aruba,oranjestad,7-12h,1478,apparent_temperature,1.0632373267481385
Aruba,oranjestad,7-12h,1478,precipitation,0.32001628003242527
Aruba,oranjestad,7-12h,1478,rain,0.31916670935837316
Aruba,oranjestad,7-12h,1478,showers,0.15715372614117087
Aruba,oranjestad,7-12h,1478,snowfall,0
Aruba,oranjestad,7-12h,1478,snow_depth,0
Aruba,oranjestad,7-12h,1478,weather_code,31.781348731589688
Aruba,oranjestad,7-12h,1478,pressure_msl,0.35350554521913463
Aruba,oranjestad,7-12h,1478,surface_pressure,0.3533332482276674
Aruba,oranjestad,7-12h,1478,cloud_cover,37.164266161143914
Aruba,oranjestad,7-12h,1478,wind_speed_10m,2.7138346507298543
Aruba,oranjestad,7-12h,1478,wind_gusts_10m,15.246671368576823
Australia,brisbane,0h,372,temperature_2m,1.4406726326298427
Australia,brisbane,0h,372,relative_humidity_2m,6.8068592855540455
