"date_and_time","city","previous_lo","previous_hi","previous_precip","today_lo","today_hi","today_outlook","tomorrow_lo","tomorrow_hi","tomorrow_outlook","email_period"
2025-06-11 20:50:00,"CORPUS CHRISTI",71,91,0.99,79,94,"TSTRMS",79,94,"TSTRMS","afternoon"
2025-06-11 20:50:00,"DALLAS FT WORTH",71,78,0.43,69,82,"TSTRMS",72,88,"SHWRS","afternoon"
2025-06-11 20:50:00,"DAYTON",58,82,0,62,88,"MOCLDY",67,85,"TSTRMS","afternoon"
2025-06-11 20:50:00,"DAYTONA BEACH",72,87,0.44,74,88,"TSTRMS",74,89,"TSTRMS","afternoon"
2025-06-11 20:50:00,"DENVER",61,87,0.01,57,88,"TSTRMS",56,88,"TSTRMS","afternoon"
2025-06-11 20:50:00,"DES MOINES",63,95,0,66,88,"TSTRMS",65,85,"MOCLDY","afternoon"
2025-06-11 20:50:00,"DETROIT",57,86,0,64,80,"TSTRMS",61,78,"TSTRMS","afternoon"
2025-06-11 20:50:00,"DULUTH",49,74,0,48,64,"SHWRS",44,53,"SHWRS","afternoon"
2025-06-11 20:50:00,"EL PASO",66,95,0,74,102,"SUNNY",75,103,"SUNNY","afternoon"
2025-06-11 20:50:00,"ELKINS",53,82,0,55,87,"PTCLDY",62,86,"SHWRS","afternoon"
2025-06-11 20:50:00,"ERIE",61,82,0,62,75,"PTCLDY",60,76,"SHWRS","afternoon"
2025-06-11 20:50:00,"EUGENE",49,76,0,44,75,"PTCLDY",44,72,"SUNNY","afternoon"
2025-06-11 20:50:00,"EVANSVILLE",60,84,0,65,88,"PTCLDY",70,83,"SHWRS","afternoon"
2025-06-11 20:50:00,"FAIRBANKS",43,71,0,50,77,"PTCLDY",52,83,"SUNNY","afternoon"
2025-06-11 20:50:00,"FARGO",50,80,0,54,74,"SHWRS",52,65,"SHWRS","afternoon"
2025-06-11 20:50:00,"FLAGSTAFF",48,86,0,49,82,"SUNNY",46,82,"SUNNY","afternoon"
2025-06-11 20:50:00,"FLINT",50,86,0,60,78,"TSTRMS",56,75,"TSTRMS","afternoon"
2025-06-11 20:50:00,"FORT SMITH",71,88,0,69,79,"SHWRS",69,85,"TSTRMS","afternoon"
2025-06-11 20:50:00,"FORT WAYNE",57,85,0,63,88,"MOCLDY",65,82,"SHWRS","afternoon"
2025-06-11 20:50:00,"FRESNO",65,95,0,60,93,"SUNNY",63,94,"SUNNY","afternoon"
2025-06-11 20:50:00,"GOODLAND",61,89,0,59,91,"SUNNY",59,90,"PTCLDY","afternoon"
2025-06-11 20:50:00,"GRAND JUNCTION",66,95,0,65,95,"SUNNY",63,96,"SUNNY","afternoon"
2025-06-11 20:50:00,"GRAND RAPIDS",50,84,0,61,80,"MOCLDY",59,77,"SHWRS","afternoon"
2025-06-11 20:50:00,"GREAT FALLS",59,81,0,54,72,"SHWRS",51,75,"SHWRS","afternoon"
2025-06-11 20:50:00,"GREEN BAY",54,84,0,58,71,"MOCLDY",56,64,"SHWRS","afternoon"
2025-06-11 20:50:00,"GREENSBORO",65,86,0.13,67,88,"MOCLDY",69,86,"TSTRMS","afternoon"
2025-06-11 20:50:00,"HARRISBURG",60,83,0,63,87,"PTCLDY",67,84,"TSTRMS","afternoon"
2025-06-11 20:50:00,"HARTFORD SPGFLD",55,82,0.19,64,86,"SUNNY",59,81,"PTCLDY","afternoon"
2025-06-11 20:50:00,"HELENA",56,79,0,53,79,"SHWRS",51,79,"SHWRS","afternoon"
2025-06-11 20:50:00,"HONOLULU",76,86,0,74,85,"SUNNY",74,85,"PTCLDY","afternoon"
2025-06-11 20:50:00,"HOUSTON INTCNTL",78,83,0.84,77,87,"TSTRMS",77,91,"SHWRS","afternoon"
2025-06-11 20:50:00,"HUNTSVILLE AL",64,90,0,66,89,"TSTRMS",70,88,"TSTRMS","afternoon"
2025-06-11 20:50:00,"INDIANAPOLIS",58,83,0,62,86,"MOCLDY",67,83,"SHWRS","afternoon"
2025-06-11 20:50:00,"JACKSON MS",70,92,0,73,91,"TSTRMS",74,90,"TSTRMS","afternoon"
2025-06-11 20:50:00,"JACKSONVILLE",70,94,0,73,91,"TSTRMS",73,92,"TSTRMS","afternoon"
2025-06-11 20:50:00,"JUNEAU",37,60,0,43,54,"RAIN",45,55,"SHWRS","afternoon"
2025-06-11 20:50:00,"KANSAS CITY",57,88,0,68,83,"TSTRMS",68,82,"TSTRMS","afternoon"
2025-06-11 20:50:00,"KEY WEST",81,87,0,80,89,"SHWRS",81,90,"SHWRS","afternoon"
2025-06-11 20:50:00,"KNOXVILLE",60,84,0,64,86,"TSTRMS",69,87,"TSTRMS","afternoon"
2025-06-11 20:50:00,"LAKE CHARLES",73,87,0.64,75,88,"TSTRMS",77,90,"SHWRS","afternoon"
2025-06-11 20:50:00,"LANSING",51,85,0,61,79,"MOCLDY",57,75,"SHWRS","afternoon"
2025-06-11 20:50:00,"LAS VEGAS",87,106,0,79,104,"SUNNY",78,104,"SUNNY","afternoon"
2025-06-11 20:50:00,"LEXINGTON",56,83,0,63,85,"PTCLDY",67,85,"SHWRS","afternoon"
2025-06-11 20:50:00,"SALEM OR",48,76,0,48,75,"PTCLDY",48,72,"SUNNY","afternoon"
2025-06-11 20:50:00,"SALT LAKE CITY",70,98,0,65,93,"SUNNY",66,94,"SUNNY","afternoon"
2025-06-11 20:50:00,"SAN ANGELO",66,82,1.81,NA,NA,NA,NA,NA,NA,"afternoon"
2025-06-11 20:50:00,"SAN ANTONIO",70,88,0.5,72,90,"TSTRMS",75,93,"TSTRMS","afternoon"
2025-06-11 20:50:00,"SAN DIEGO",62,68,0,61,71,"MOCLDY",59,72,"MOCLDY","afternoon"
2025-06-11 20:50:00,"SAN FRANCISCO",54,62,0,53,67,"SUNNY",53,66,"SUNNY","afternoon"
2025-06-11 20:50:00,"SAN JOSE",54,70,0,52,77,"SUNNY",53,76,"SUNNY","afternoon"
2025-06-11 20:50:00,"SAN JUAN PR",77,87,0.29,77,89,"PTCLDY",77,88,"PTCLDY","afternoon"
2025-06-11 20:50:00,"SANTA FE",53,86,0.02,56,88,NA,56,90,"SUNNY","afternoon"
